st,en,popularity
31111,31503,4311
32067,32068,4311
31266,31267,4311
31236,31295,4309
31201,31231,4307
31613,31617,4304
31104,31278,4303
31107,31214,4301
31003,31012,4298
31114,31267,4297
31111,31266,4297
31100,31201,4292
31235,31243,4286
31508,31623,4284
31214,31255,4282
31217,31232,4282
32214,32215,4278
31200,31219,4277
31208,31606,4271
31221,31600,4266
31200,31623,4266
31613,31644,4266
31021,31089,4262
31102,31109,4262
31209,31634,4259
31269,31612,4258
31202,31238,4257
31224,31234,4257
31216,31247,4256
31045,31084,4256
31022,31065,4250
31214,31238,4249
31223,31229,4249
31227,31242,4247
31028,31029,4247
31011,31249,4243
31229,31503,4243
31219,31618,4238
31241,31253,4238
31200,31624,4237
31241,31258,4227
31227,31232,4225
31271,31321,4225
31205,31600,4225
31237,31242,4224
31612,31620,4219
31105,31117,4219
31121,31124,4214
31116,31121,4212
31225,31241,4211
31241,31252,4210
31121,31602,4210
31201,31285,4205
31277,31290,4204
31110,31121,4203
31101,31224,4202
31017,31022,4196
31101,31603,4196
31108,31228,4193
31102,31120,4192
31203,31205,4190
31109,31232,4189
31104,31104,4189
31265,31620,4186
31232,31616,4186
31109,31116,4184
31228,31267,4184
31616,31622,4183
31241,31255,4182
31230,31248,4182
31107,31296,4181
31230,31603,4181
31287,31623,4174
31232,31263,4173
31222,31231,4171
31202,31603,4170
31505,31600,4170
31241,31506,4169
31101,31205,4169
31100,31229,4168
31262,31263,4163
31228,31242,4159
31103,31116,4157
31234,31312,4157
31605,31634,4155
31203,31602,4152
31406,31602,4151
31113,31602,4151
31400,31404,4149
31128,31246,4148
31103,31202,4147
31263,31265,4146
31019,31030,4146
31618,31620,4143
31247,31263,4141
31244,31248,4138
31037,31902,4137
31223,31245,4135
31231,31235,4133
31202,31202,4131
31256,31271,4131
31244,31634,4130
31233,31233,4130
31110,31602,4129
31232,31618,4127
31232,31245,4125
31200,31401,4125
31105,31111,4123
31615,31619,4115
31222,31246,4114
31248,31277,4113
31616,31616,4113
31103,31239,4113
31269,31288,4109
31601,31632,4107
31203,31234,4105
31237,31260,4105
31202,31216,4105
31200,31265,4105
31238,31265,4104
31603,31610,4104
31627,31639,4103
31208,31609,4102
31500,31623,4101
31116,31233,4098
31110,31239,4097
31214,31223,4095
31109,31245,4092
31243,31256,4082
31014,31306,4081
31100,31227,4075
31500,31627,4074
31201,31280,4073
31201,31257,4073
31015,31031,4072
