st,en,popularity
31002,31255,24
31002,31256,68
31002,31257,115
31002,31258,2306
31002,31259,34
31002,31260,324
31002,31261,185
31002,31262,23
31002,31263,75
31002,31264,85
31002,31265,22
31002,31266,27
31002,31267,89
31002,31268,41
31002,31269,39
31002,31270,114
31002,31271,88
31002,31272,75
31002,31273,254
31002,31274,20
31002,31275,193
31002,31276,29
31002,31277,60
31002,31278,67
31002,31279,27
31002,31280,12
31002,31281,18
31002,31282,24
31002,31283,32
31002,31284,38
31002,31285,40
31002,31286,26
31002,31287,81
31002,31288,98
31002,31289,333
31002,31290,250
31002,31291,29
31002,31292,79
31002,31293,60
31002,31294,146
31002,31295,177
31002,31296,9
31002,31297,43
31002,31298,26
31002,31299,13
31002,31300,10
31002,31301,3
31002,31302,6
31002,31303,6
31002,31304,8
31002,31305,49
31002,31306,25
31002,31307,14
31002,31308,1
31002,31310,24
31002,31312,46
31002,31313,4
31002,31314,172
31002,31318,1
31002,31320,1
31002,31321,120
31002,31323,5
31002,31324,13
31002,31325,1
31002,31327,2
31002,31328,5
31002,31400,25
31002,31401,3
31002,31402,4
31002,31404,12
31002,31406,30
31002,31407,1
31002,31408,2
31002,31420,1
31002,31500,3
31002,31501,2
31002,31502,5
31002,31503,8
31002,31504,12
31002,31505,5
31002,31506,4
31002,31507,16
31002,31508,2
31002,31509,4
31002,31510,1
31002,31512,3
31002,31514,1
31002,31516,2
31002,31517,1
31002,31519,4
31002,31522,1
31002,31524,5
31002,31525,5
31002,31600,22
31002,31601,3
31002,31602,21
31002,31603,59
31002,31604,22
31002,31605,43
31002,31606,21
31002,31607,9
31002,31608,11
31002,31609,530
31002,31610,45
31002,31611,11
31002,31612,24
31002,31613,78
31002,31614,4
31002,31615,21
31002,31616,21
31002,31617,17
31002,31618,97
31002,31619,21
31002,31620,54
31002,31621,37
31002,31622,46
31002,31623,200
31002,31624,108
31002,31625,10
31002,31626,10
31002,31627,26
31002,31628,110
31002,31629,12
31002,31630,7
31002,31631,13
31002,31632,1
31002,31633,182
31002,31634,31
31002,31635,5
31002,31636,2
31002,31637,24
31002,31638,10
31002,31639,10
31002,31640,40
31002,31641,20
31002,31642,4
31002,31643,9
31002,31644,4
31002,31645,4
31002,31646,396
31002,31647,2
31002,31648,11
31002,31649,1
31002,31650,19
31002,31651,2
31002,31652,10
31002,31653,4
31002,31654,17
31002,31655,8
31002,31658,1
31002,31659,1
31002,31661,2
31002,31662,2
31002,31664,1
31002,31666,10
31002,31667,2
31002,31668,2
31002,31669,5
31002,31700,1
31002,31701,4
31002,31703,1
31002,31708,3
31002,31712,4
31002,31801,14
31002,31802,9
31002,31806,2
31002,31807,2
31002,31812,6
31002,31902,6
31002,31903,103
31002,31904,11
31002,31905,5
31002,31906,146
31002,31907,220
31002,31908,31
31002,31909,278
31002,31910,272
31002,31912,88
31002,31913,26
31002,31914,1
31002,31915,152
31002,31916,1141
31002,31917,80
31002,31918,737
31002,31919,4
31002,31920,208
31002,31921,3
31002,31923,2
31002,31924,8
31002,31927,1
31002,31928,7
31002,31929,12
31002,31930,1
31002,31931,28
31002,31935,45
31002,31936,24
31002,31937,10
31002,31938,71
31002,31939,6
31002,31940,6
31002,31944,267
31002,31947,10
31002,31949,1
31002,31950,67
31002,32002,25
31002,32003,2
31002,32006,1
31002,32008,3
31002,32012,2
31002,32013,1
31002,32014,3
31002,32021,3
31002,32024,1
31002,32025,1
31002,32028,4
31002,32039,1
31002,32046,40
31002,32048,1
31002,32055,2
31002,32078,1
31002,32218,1
31002,32231,1
31002,32232,1
31002,32406,2
31002,32415,2
31002,32418,5
31002,32423,1
31002,32604,1
31003,31004,1085
31003,31005,3947
31003,31006,3573
31003,31009,3375
31003,31010,2491
31003,31011,7096
31003,31012,4338
31003,31013,1984
31003,31014,1188
31003,31015,244
31003,31016,55
31003,31017,10
31003,31018,64
31003,31019,11
31003,31020,15
31003,31021,19
31003,31022,18
31003,31023,21
31003,31024,25
31003,31025,16
31003,31026,32
31003,31027,41
31003,31028,14
31003,31029,30
31003,31030,21
31003,31031,69
31003,31032,15
31003,31033,24
31003,31034,5
31003,31035,4
31003,31036,3
31003,31037,20
31003,31038,6
31003,31039,19
31003,31040,8
31003,31041,791
31003,31042,434
31003,31043,302
31003,31044,96
31003,31045,57
31003,31046,81
31003,31047,268
31003,31048,67
31003,31049,3
31003,31050,4
31003,31051,38
31003,31052,987
31003,31053,234
31003,31054,11
31003,31055,171
31003,31056,109
31003,31057,101
31003,31058,7
31003,31059,142
31003,31060,249
31003,31061,37
31003,31062,345
31003,31063,14
31003,31064,1145
31003,31065,19
