short_name,name,lat,lon,tripcount,roundtrips
31035,N Quincy St & Glebe Rd,38.876393,-77.107735,46919,1064
31033,Barcroft Community Center,38.85033657788445,-77.1009886264801,27235,1893
31029,N Veitch St & 20th St N,38.896923,-77.086502,59660,1173
31263,10th & K St NW,38.9024,-77.02622,285715,5325
31023,Fairfax Dr & Wilson Blvd,38.885801,-77.097745,63664,691
31027,Wilson Blvd & N Quinn St,38.893993,-77.07857,39719,1003
31628,1st & K St SE,38.878854378063295,-77.00572729110718,338504,6511
31306,39th & Calvert St NW / Stoddert,38.922649,-77.077271,98051,2366
31507,1st & Washington Hospital Center NW,38.928743,-77.012457,63421,535
31024,Virginia Square Metro / Monroe St & 9th St N,38.882788,-77.103148,106933,2281
31025,Central Library / Quincy St & 10th St N,38.88397,-77.10783,45622,1281
31026,Washington Blvd & 10th St N,38.884734,-77.093485,46504,961
31247,Jefferson Dr & 14th St SW,38.8885525,-77.032427,833901,56315
31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,38.888774,-77.028694,599755,49373
31036,George Mason Dr & Wilson Blvd,38.87887,-77.1207,38361,1759
31264,6th St & Indiana Ave NW,38.894573,-77.01994,251295,4119
31028,N Veitch St & Key Blvd,38.893237,-77.086063,37613,642
31030,Langston Blvd & N Adams St,38.89593,-77.089006,69934,1041
31031,15th St & N Scott St,38.89054,-77.08095,55722,1235
31032,Washington Blvd & 7th St N,38.88081,-77.090792,21333,425
31037,Ballston Metro / Stuart St & 9th St N,38.881044,-77.111768,126179,2850
31034,Fairfax Dr & N Randolph St,38.882629,-77.109366,56620,1087
31249,Jefferson Memorial,38.879819,-77.037413,552212,19697
31803,Good Hope Rd & 14th St SE,38.866611,-76.985238,14604,341
31038,Glebe Rd & 11th St N,38.883921,-77.116817,33403,819
31039,Wilson Blvd & N Quincy St,38.880012,-77.107854,76767,1589
31040,GMU / Fairfax Dr & Kenmore St,38.884616,-77.10108,38813,549
31508,Gallaudet / 8th St & Florida Ave NE,38.90509,-76.9941,92865,2114
31250,20th & L St NW,38.903584,-77.044789,174779,1418
31251,12th & L St NW,38.903819,-77.0284,270583,2438
31252,21st St & Pennsylvania Ave NW,38.901539,-77.046564,172556,1779
31253,19th & K St NW,38.902204,-77.04337,165644,1160
31041,Prince St & Union St,38.803124,-77.040363,72506,8069
31042,Market Square / King St & Royal St,38.804718,-77.043363,88720,4794
31043,St Asaph & Pendleton St,38.81074147938705,-77.0446327328682,42422,1419
31044,King St & Patrick St,38.805317,-77.049883,48993,1531
31254,15th & K St NW,38.902,-77.03353,231241,2892
31045,Commerce St & Fayette St,38.805648,-77.05293,33785,889
31046,Henry St & Pendleton St,38.811456,-77.050276,24408,865
31047,Braddock Rd Metro,38.814577,-77.052808,112067,1751
