st,en,popularity
31002,31123,5
31002,31124,13
31002,31125,128
31002,31127,17
31002,31128,72
31002,31129,104
31002,31132,3
31002,31200,130
31002,31201,134
31002,31202,40
31002,31203,54
31002,31204,43
31002,31205,110
31002,31206,75
31002,31207,4
31002,31208,89
31002,31209,86
31002,31211,252
31002,31212,84
31002,31213,105
31002,31214,200
31002,31215,395
31002,31216,147
31002,31217,742
31002,31218,277
31002,31219,319
31002,31220,210
31002,31221,45
31002,31222,541
31002,31223,24
31002,31224,28
31002,31225,520
31002,31226,57
31002,31227,498
31002,31228,83
31002,31229,168
31002,31230,292
31002,31231,523
31002,31232,326
31002,31233,141
31002,31234,55
31002,31235,356
31002,31236,253
31002,31237,112
31002,31238,173
31002,31239,40
31002,31240,838
31002,31241,96
31002,31242,76
31002,31243,325
31002,31244,178
31002,31245,8
31002,31246,182
31002,31247,1478
31002,31248,648
31002,31249,11456
31002,31250,35
31002,31251,141
31002,31252,54
31002,31253,137
31002,31254,96
31002,31255,24
31002,31256,68
31002,31257,115
31002,31258,2332
31002,31259,34
31002,31260,327
31002,31261,185
31002,31262,23
31002,31263,77
31002,31264,84
31002,31265,23
31002,31266,30
31002,31267,89
31002,31268,42
31002,31269,40
31002,31270,114
31002,31271,89
31002,31272,76
31002,31273,263
31002,31274,20
31002,31275,196
31002,31276,29
31002,31277,60
31002,31278,69
31002,31279,27
31002,31280,12
31002,31281,18
31002,31282,24
31002,31283,36
31002,31284,38
31002,31285,39
31002,31286,26
31002,31287,84
31002,31288,103
31002,31289,338
31002,31290,266
31002,31291,30
31002,31292,78
31002,31293,62
31002,31294,147
31002,31295,178
31002,31296,9
31002,31297,44
31002,31298,26
31002,31299,13
31002,31300,10
31002,31301,3
31002,31302,6
31002,31303,6
31002,31304,7
31002,31305,49
31002,31306,25
31002,31307,14
31002,31308,2
31002,31310,24
31002,31312,47
31002,31313,4
31002,31314,177
31002,31318,1
31002,31320,1
31002,31321,122
31002,31323,5
31002,31324,14
31002,31325,1
31002,31327,2
31002,31328,5
31002,31400,25
31002,31401,4
31002,31402,4
31002,31404,12
31002,31406,30
31002,31407,1
31002,31408,2
31002,31420,3
31002,31500,3
31002,31501,2
31002,31502,5
31002,31503,8
31002,31504,12
31002,31505,5
31002,31506,4
31002,31507,16
31002,31508,2
31002,31509,4
31002,31510,1
31002,31512,3
31002,31514,1
31002,31516,2
31002,31517,1
31002,31518,2
31002,31519,4
31002,31522,1
31002,31524,10
31002,31525,5
31002,31600,23
31002,31601,3
31002,31602,21
31002,31603,59
31002,31604,23
31002,31605,43
31002,31606,21
31002,31607,9
31002,31608,13
31002,31609,534
31002,31610,48
31002,31611,14
31002,31612,24
31002,31613,78
31002,31614,4
31002,31615,21
31002,31616,23
31002,31617,17
31002,31618,97
31002,31619,21
31002,31620,58
31002,31621,39
31002,31622,46
31002,31623,203
31002,31624,108
31002,31625,10
31002,31626,10
31002,31627,25
31002,31628,111
31002,31629,13
31002,31630,7
31002,31631,13
31002,31632,1
31002,31633,182
